Identifier	Period	Measure
S001	2010-01-02	2214
S001	2010-01-09	978
S001	2010-01-16	1056
S001	2010-01-23	970
S001	2010-01-30	1109
S001	2010-02-06	1203
S001	2010-02-13	1136
S001	2010-02-20	1493
S001	2010-02-27	1314
S001	2010-03-06	1445
S001	2010-03-13	1339
S001	2010-03-20	1398
S001	2010-03-27	1501
S001	2010-04-03	1529
S001	2010-04-10	1449
S001	2010-04-17	1484
S001	2010-04-24	1567
S001	2010-05-01	1589
S001	2010-05-08	1400
S001	2010-05-15	1472
S001	2010-05-22	1725
S001	2010-05-29	1732
S001	2010-06-05	1326
S001	2010-06-12	1470
S001	2010-06-19	1691
S001	2010-06-26	1585
S001	2010-07-03	1618
S001	2010-07-10	1730
S001	2010-07-17	1863
S001	2010-07-24	1291
S001	2010-07-31	1293
S001	2010-08-07	1215
S001	2010-08-14	1111
S001	2010-08-21	1316
S001	2010-08-28	1351
S001	2010-09-04	1704
S001	2010-09-11	1587
S001	2010-09-18	1570
S001	2010-09-25	1370
S001	2010-10-02	1459
S001	2010-10-09	1260
S001	2010-10-16	1276
S001	2010-10-23	1550
S001	2010-10-30	1442
S001	2010-11-06	1514
S001	2010-11-13	1465
S001	2010-11-20	1426
S001	2010-11-27	1792
S001	2010-12-04	1554
S001	2010-12-11	1377
S001	2010-12-18	1629
S001	2010-12-25	1453
S001	2011-01-01	1963
S001	2011-01-08	1000
S001	2011-01-15	1053
S001	2011-01-22	922
S001	2011-01-29	1251
S001	2011-02-05	1202
S001	2011-02-12	1143
S001	2011-02-19	1334
S001	2011-02-26	1335
S001	2011-03-05	1471
S001	2011-03-12	1435
S001	2011-03-19	1445
S001	2011-03-26	1391
S001	2011-04-02	1458
S001	2011-04-09	1452
S001	2011-04-16	1410
S001	2011-04-23	1333
S001	2011-04-30	1478
S001	2011-05-07	1466
S001	2011-05-14	1366
S001	2011-05-21	1442
S001	2011-05-28	1726
S001	2011-06-04	1258
S001	2011-06-11	1439
S001	2011-06-18	1594
S001	2011-06-25	1486
S001	2011-07-02	1645
S001	2011-07-09	1735
S001	2011-07-16	1749
S001	2011-07-23	1389
S001	2011-07-30	1281
S001	2011-08-06	1017
S001	2011-08-13	1148
S001	2011-08-20	1344
S001	2011-08-27	1555
S001	2011-09-03	1443
S001	2011-09-10	1459
S001	2011-09-17	1493
S001	2011-09-24	1332
S001	2011-10-01	1359
S001	2011-10-08	1252
S003	2010-01-02	3043
S003	2010-01-09	1646
S003	2010-01-16	1558
S003	2010-01-23	1688
S003	2010-01-30	2023
S003	2010-02-06	1740
S003	2010-02-13	1920
S003	2010-02-20	2290
S003	2010-02-27	2353
S003	2010-03-06	2609
S003	2010-03-13	2488
S003	2010-03-20	2627
S003	2010-03-27	2349
S003	2010-04-03	2577
S003	2010-04-10	2393
S003	2010-04-17	2509
S003	2010-04-24	2436
S003	2010-05-01	2443
S003	2010-05-08	2550
S003	2010-05-15	2324
S003	2010-05-22	2705
S003	2010-05-29	3019
S003	2010-06-05	2204
S003	2010-06-12	2517
S003	2010-06-19	2961
S003	2010-06-26	2987
S003	2010-07-03	2867
S003	2010-07-10	3474
S003	2010-07-17	2910
S003	2010-07-24	2369
S003	2010-07-31	2520
S003	2010-08-07	2061
S003	2010-08-14	1924
S003	2010-08-21	2177
S003	2010-08-28	2547
S003	2010-09-04	2995
S003	2010-09-11	2921
S003	2010-09-18	2519
S003	2010-09-25	2479
S003	2010-10-02	2572
S003	2010-10-09	2150
S003	2010-10-16	2404
S003	2010-10-23	2268
S003	2010-10-30	2609
S003	2010-11-06	2798
S003	2010-11-13	2535
S003	2010-11-20	2566
S003	2010-11-27	3178
S003	2010-12-04	2663
S003	2010-12-11	2587
S003	2010-12-18	2605
S003	2010-12-25	2436
S003	2011-01-01	3167
S003	2011-01-08	1914
S003	2011-01-15	1824
S003	2011-01-22	1874
S003	2011-01-29	1952
S003	2011-02-05	2064
S003	2011-02-12	2184
S003	2011-02-19	2636
S003	2011-02-26	2383
S003	2011-03-05	2658
S003	2011-03-12	2834
S003	2011-03-19	2594
S003	2011-03-26	2772
S003	2011-04-02	2806
S003	2011-04-09	2530
S003	2011-04-16	2710
S003	2011-04-23	2697
S003	2011-04-30	2842
S003	2011-05-07	2831
S003	2011-05-14	2711
S003	2011-05-21	3007
S003	2011-05-28	3146
S003	2011-06-04	2428
S003	2011-06-11	2588
S003	2011-06-18	3121
S003	2011-06-25	2827
S003	2011-07-02	3142
S003	2011-07-09	3479
S003	2011-07-16	3232
S003	2011-07-23	2339
S003	2011-07-30	2472
S003	2011-08-06	2458
S003	2011-08-13	2440
S003	2011-08-20	2280
S003	2011-08-27	2727
S003	2011-09-03	3293
S003	2011-09-10	3057
S003	2011-09-17	3313
S003	2011-09-24	2747
S003	2011-10-01	2882
S003	2011-10-08	2550
S004	2010-01-02	2360
S004	2010-01-09	1285
S004	2010-01-16	1287
S004	2010-01-23	1300
S004	2010-01-30	1521
S004	2010-02-06	1470
S004	2010-02-13	1464
S004	2010-02-20	1871
S004	2010-02-27	1637
S004	2010-03-06	2006
S004	2010-03-13	1664
S004	2010-03-20	1965
S004	2010-03-27	1849
S004	2010-04-03	1916
S004	2010-04-10	1972
S004	2010-04-17	1961
S004	2010-04-24	1824
S004	2010-05-01	2037
S004	2010-05-08	1739
S004	2010-05-15	1978
S004	2010-05-22	2036
S004	2010-05-29	2064
